latitude,longitude,topo
degrees_north,degrees_east,meters
44.4,-71.9,552
44.4,-71.89166667,501
44.4,-71.88333333,445
44.4,-71.875,414
44.4,-71.86666667,434
44.4,-71.85833333,447
44.4,-71.85,475
44.4,-71.84166667,481
44.4,-71.83333333,434
44.4,-71.825,391
44.4,-71.81666667,329
44.4,-71.80833333,281
44.4,-71.8,241
44.4,-71.79166667,253
44.4,-71.78333333,279
44.4,-71.775,299
44.4,-71.76666667,330
44.4,-71.75833333,372
44.4,-71.75,354
44.4,-71.74166667,332
44.4,-71.73333333,331
44.4,-71.725,330
44.4,-71.71666667,337
44.4,-71.70833333,402
44.4,-71.7,497
44.4,-71.69166667,479
44.4,-71.68333333,432
44.4,-71.675,462
44.4,-71.66666667,507
44.4,-71.65833333,554
44.4,-71.65,448
44.4,-71.64166667,340
44.4,-71.63333333,277
44.4,-71.625,285
44.4,-71.61666667,322
44.4,-71.60833333,344
44.4,-71.6,364
44.4,-71.59166667,374
44.4,-71.58333333,372
44.4,-71.575,371
44.4,-71.56666667,349
44.4,-71.55833333,355
44.4,-71.55,367
44.4,-71.54166667,369
44.4,-71.53333333,373
44.4,-71.525,365
44.4,-71.51666667,361
44.4,-71.50833333,353
44.4,-71.5,343
44.4,-71.49166667,329
44.4,-71.48333333,332
44.4,-71.475,342
44.4,-71.46666667,349
44.4,-71.45833333,374
44.4,-71.45,398
44.4,-71.44166667,418
44.4,-71.43333333,442
44.4,-71.425,469
44.4,-71.41666667,497
44.4,-71.40833333,534
44.4,-71.4,558
44.4,-71.39166667,558
44.4,-71.38333333,559
44.4,-71.375,564
44.4,-71.36666667,586
44.4,-71.35833333,670
44.4,-71.35,727
44.4,-71.34166667,719
44.4,-71.33333333,777
44.4,-71.325,869
44.4,-71.31666667,845
44.4,-71.30833333,772
44.4,-71.3,751
44.4,-71.29166667,669
44.4,-71.28333333,557
44.4,-71.275,509
44.4,-71.26666667,469
44.4,-71.25833333,429
44.4,-71.25,387
44.4,-71.24166667,356
44.4,-71.23333333,319
44.4,-71.225,296
44.4,-71.21666667,292
44.4,-71.20833333,265
44.4,-71.2,248
44.4,-71.19166667,266
44.4,-71.18333333,283
44.4,-71.175,320
44.4,-71.16666667,327
44.4,-71.15833333,318
44.4,-71.15,346
44.4,-71.14166667,272
44.4,-71.13333333,232
44.4,-71.125,246
44.4,-71.11666667,284
44.4,-71.10833333,337
44.4,-71.1,398
44.4,-71.09166667,342
44.4,-71.08333333,238
44.4,-71.075,239
44.4,-71.06666667,261
44.4,-71.05833333,232
44.4,-71.05,216
44.4,-71.04166667,217
44.4,-71.03333333,221
44.4,-71.025,250
44.4,-71.01666667,223
44.4,-71.00833333,214
44.4,-71,245
44.39166667,-71.9,535
44.39166667,-71.89166667,499
44.39166667,-71.88333333,457
44.39166667,-71.875,459
44.39166667,-71.86666667,417
44.39166667,-71.85833333,402
44.39166667,-71.85,432
44.39166667,-71.84166667,453
44.39166667,-71.83333333,413
44.39166667,-71.825,383
44.39166667,-71.81666667,286
44.39166667,-71.80833333,239
44.39166667,-71.8,248
44.39166667,-71.79166667,311
44.39166667,-71.78333333,350
44.39166667,-71.775,361
44.39166667,-71.76666667,378
44.39166667,-71.75833333,445
44.39166667,-71.75,462
44.39166667,-71.74166667,430
44.39166667,-71.73333333,392
44.39166667,-71.725,360
44.39166667,-71.71666667,372
44.39166667,-71.70833333,428
44.39166667,-71.7,478
44.39166667,-71.69166667,494
44.39166667,-71.68333333,495
44.39166667,-71.675,547
44.39166667,-71.66666667,549
44.39166667,-71.65833333,443
44.39166667,-71.65,354
44.39166667,-71.64166667,319
44.39166667,-71.63333333,294
44.39166667,-71.625,285
44.39166667,-71.61666667,317
44.39166667,-71.60833333,326
44.39166667,-71.6,343
44.39166667,-71.59166667,353
44.39166667,-71.58333333,351
44.39166667,-71.575,375
44.39166667,-71.56666667,350
44.39166667,-71.55833333,339
44.39166667,-71.55,338
44.39166667,-71.54166667,339
44.39166667,-71.53333333,342
44.39166667,-71.525,349
44.39166667,-71.51666667,351
44.39166667,-71.50833333,351
44.39166667,-71.5,361
44.39166667,-71.49166667,338
44.39166667,-71.48333333,327
44.39166667,-71.475,332
44.39166667,-71.46666667,341
44.39166667,-71.45833333,350
44.39166667,-71.45,369
44.39166667,-71.44166667,388
44.39166667,-71.43333333,405
44.39166667,-71.425,431
44.39166667,-71.41666667,451
44.39166667,-71.40833333,473
44.39166667,-71.4,498
44.39166667,-71.39166667,528
44.39166667,-71.38333333,553
44.39166667,-71.375,580
44.39166667,-71.36666667,620
44.39166667,-71.35833333,671
44.39166667,-71.35,767
44.39166667,-71.34166667,785
44.39166667,-71.33333333,798
44.39166667,-71.325,863
44.39166667,-71.31666667,758
44.39166667,-71.30833333,633
44.39166667,-71.3,584
44.39166667,-71.29166667,561
44.39166667,-71.28333333,542
44.39166667,-71.275,531
44.39166667,-71.26666667,510
44.39166667,-71.25833333,464
44.39166667,-71.25,421
44.39166667,-71.24166667,397
